agency/id,agency/name,agency/url,agency/timezone,agency/lang,agency/phone
1,S-Bahn Berlin GmbH,http://www.s-bahn-berlin.de,Europe/Berlin,de,
32,Oberhavel Verkehrsgesellschaft mbH,https://www.ovg-online.de,Europe/Berlin,de,
47,Verkehrsbetriebe Brandenburg an der Havel GmbH,http://www.vbbr.de,Europe/Berlin,de,
84,Stadtverkehrsgesellschaft mbH Frankfurt (Oder),http://www.svf-ffo.de,Europe/Berlin,de,
92,Havelbus Verkehrsgesellschaft mbH,http://www.havelbus.de,Europe/Berlin,de,
93,Uckermärkische Verkehrsgesellschaft mbH,http://www.wirbewegensie.de,Europe/Berlin,de,
108,DB Regio AG,http://www.bahn.de/brandenburg,Europe/Berlin,de,
138,Günter Anger Güterverkehrs GmbH & Co. Omnibusvermietung KG,http://www.anger-busvermietung.de,Europe/Berlin,de,
150,Verkehrsbetrieb Potsdam GmbH,http://www.vip-potsdam.de,Europe/Berlin,de,
241,Barnimer Busgesellschaft mbH,http://www.bbg-eberswalde.de,Europe/Berlin,de,
